sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,emotion
110,119.5139,350.7789,264.142,0.005882,1.312313,1128.561,2038.075,Happy
111,149.2974,294.8648,238.8069,0.009059,1.476313,785.1112,2630.491,Happy
112,143.0314,428.2949,300.6871,0.009021,1.31225,1366.415,1544.518,Happy
113,156.9761,195.2843,182.093,0.003633,1.476375,2388.731,2836.758,Happy
114,164.4848,271.585,240.4898,0.002802,1.722375,2456.377,3676.71,Happy
115,116.7277,293.7836,228.4502,0.020592,1.640375,310.828,2272.17,Happy
116,125.6032,239.9651,199.1084,0.0066,2.0505,431.9241,2513.51,Happy
117,138.3142,341.6685,244.4561,0.002951,1.230313,2312.666,4504.349,Happy
118,157.1881,200.2608,181.3586,0.001508,1.394313,2092.253,4174.371,Happy
119,273.2424,301.8499,286.2938,0.004505,1.804375,2836.436,4965.49,Happy
120,105.0112,339.037,241.8118,0.001797,0.984188,556.8705,2597.856,Happy
121,133.2011,335.7044,257.5843,0.016333,1.476313,1241.741,2800.513,Happy
122,241.681,436.9426,353.8224,0.00351,1.476313,2795.626,4670.096,Happy
123,151.9802,300.6187,237.36,0.006214,1.476313,2232.837,4173.627,Happy
124,179.0121,311.9022,253.9872,0.006764,1.31225,336.9604,2115.398,Happy
125,75.53854,287.1429,211.7448,0.00646,1.722375,2677.582,5390.28,Happy
126,132.639,300.9055,211.8848,0.010944,1.14825,904.1442,3334.914,Happy
127,117.6181,354.8627,230.9857,0.00499,1.230313,2924.561,4717.208,Happy
128,144.7282,332.9911,247.4914,0.004523,1.066188,885.5237,2394.922,Happy
129,106.9743,256.5387,185.5529,0.00434,1.312313,2676.407,3733.459,Happy
130,152.0089,352.0804,271.0371,0.00377,1.394313,604.5217,4342.447,Happy
131,143.3145,349.188,262.7623,0.014169,1.394313,824.7831,903.9788,Happy
132,115.1411,287.3541,212.2927,0.011401,1.394313,832.709,3715.182,Happy
133,140.1362,221.4885,200.6453,0.007518,1.640375,1725.994,3762.087,Happy
134,291.695,334.3298,309.349,0.009417,1.394313,2073.065,4545.423,Happy
135,220.424,344.2285,304.3179,0.001433,1.14825,2457.645,4473.817,Happy
136,224.0564,311.672,249.3205,0.003584,1.14825,956.5821,2281.259,Happy
137,115.5523,315.3988,227.0446,0.020701,1.312313,670.1471,1991.166,Happy
138,132.8736,462.0841,273.9695,0.008779,1.640375,1203.041,3179.418,Happy
139,149.2438,281.6776,215.8258,0.010673,1.394313,977.9148,3451.781,Happy
140,223.2804,323.9322,285.6538,0.003495,1.312313,834.7202,3322.025,Happy
141,117.3992,249.8324,188.6332,0.014706,1.394313,2286.653,4094.367,Happy
142,128.5766,352.5487,237.5164,0.011659,1.476313,2547.331,4501.8,Happy
143,231.3265,359.514,316.529,0.000504,1.06625,839.2141,2624.965,Happy
144,150.9655,225.7048,187.2055,0.006398,1.23025,2802.603,4385.575,Happy
145,131.7749,506.3807,261.0823,0.013696,1.312313,2498.28,4611.951,Happy
146,126.9702,589.0779,260.3513,0.004173,1.558313,1170.029,3123.48,Happy
147,137.5408,213.0814,169.1578,0.004091,1.23025,1136.503,2668.852,Happy
148,200.9993,282.6657,250.2799,0.013948,1.202938,1282.282,4287.126,Happy
149,126.4755,250.8964,201.9385,0.005247,1.845438,1212.461,1993.987,Happy
150,116.4273,229.6326,183.1397,0.012076,1.640375,1041.358,2611.005,Happy
151,241.3176,319.4778,303.4616,0.007224,1.385875,694.1708,2705.223,Happy
152,255.7389,444.75,310.6676,0.010144,1.297125,1093.925,1914.675,Happy
153,289.0536,470.6186,356.7814,0.011768,1.508188,506.1888,2268.162,Happy
154,243.7312,528.6424,304.0325,0.003689,1.406,860.5002,2276.528,Happy
155,178.5671,567.0311,298.1117,0.002393,1.217563,1022.069,2598.249,Happy
156,183.0783,560.4551,258.7809,0.00241,0.9635,1131.433,2689.073,Happy
157,229.5272,560.6538,331.6268,0.003481,1.388688,2205.318,4548.329,Happy
158,177.1006,381.0894,272.5972,0.008634,1.14725,621.1174,2451.249,Happy
159,221.8134,595.0159,292.7752,0.002724,1.384625,528.5793,2597.398,Happy
160,189.7719,508.8493,326.726,0.002822,1.171563,1110.24,2242.303,Happy
161,197.8587,462.8582,328.2954,0.004474,1.171625,697.6099,2120.957,Happy
162,178.2725,421.5655,269.5893,0.004088,1.41725,957.5423,2359.137,Happy
163,208.6694,281.6207,259.3613,0.001238,0.864188,1009.533,2851.778,Happy
164,185.0719,320.9603,268.7558,0.004668,1.014875,651.1034,2587.519,Happy
165,175.6799,508.0361,301.7051,0.004274,0.785625,952.9087,1791.589,Happy
166,192.6173,318.165,268.6497,0.00482,0.844563,1079.794,2385.713,Happy
167,109.8175,314.0527,242.4622,0.006799,1.141563,1203.491,2019.949,Happy
168,223.1907,449.2845,314.3748,0.001883,0.745438,1220.331,2966.281,Happy
169,206.3908,315.5142,273.5608,0.001273,0.69425,917.6744,2218.999,Happy
170,122.9898,471.3357,296.6483,0.004155,0.815313,245.7429,2147.202,Happy
171,170.4672,402.506,249.371,0.00547,0.827438,999.1586,2274.903,Happy
172,240.1852,356.4067,299.8666,0.003258,0.611625,678.4299,1976.191,Happy
173,231.9424,411.9177,302.1776,0.004778,0.652375,1150.047,3099.405,Happy
174,209.2497,558.9307,259.6718,0.004267,1.141625,1064.717,2506.203,Happy
175,178.4505,283.8395,231.7981,0.012846,1.146313,1048.307,2412.267,Happy
176,267.5036,596.7228,403.0774,0.01279,1.223125,1114.825,2143.512,Happy
177,163.3261,590.8389,290.88,0.021663,1.304688,1936.096,4697.661,Happy
178,227.4612,531.0788,303.8596,0.002642,0.93775,1023.925,2338.726,Happy
179,170.1654,362.758,268.7448,0.009462,1.019313,1061.031,1243.903,Happy
180,203.4647,549.5692,305.6205,0.00519,0.856188,1183.485,2410.837,Happy
181,149.5681,329.0929,269.7262,0.01462,1.133875,1530.167,2389.963,Happy
182,90.14735,281.4286,260.0059,0.004368,0.782063,747.0698,2959.97,Happy
183,182.3507,271.0239,234.8792,0.007134,0.712625,516.0129,2278.909,Happy
184,266.5944,311.1355,290.9319,0.008634,0.642563,650.8522,2726.849,Happy
185,266.0958,487.6286,344.5943,0.004823,0.791938,2049.172,4300.072,Happy
186,157.2328,287.1339,240.0864,0.010904,0.846875,705.3407,2792.041,Happy
187,76.77557,512.7298,293.878,0.01073,0.907125,454.3295,2377.778,Happy
188,82.82149,570.364,237.3542,0.008514,1.133875,722.4724,2291.408,Happy
189,219.8988,370.9141,299.0661,0.020392,0.797813,1007.301,1078.36,Happy
190,270.6898,569.9105,402.7651,0.006266,0.637688,3253.677,N/A,Happy
191,78.40178,457.0073,288.7823,0.016263,1.385188,1165.805,2163.48,Happy
192,331.1557,567.9262,407.8392,0.001979,0.89525,2279.833,4491.686,Happy
193,227.2399,591.8255,326.8084,0.014857,0.779125,1008.137,2474.307,Happy
194,177.0769,370.8375,273.858,0.02426,1.168688,967.1668,3805.299,Happy
195,201.889,329.2738,274.2013,0.01017,1.278125,1022.047,2424.746,Happy
196,169.4164,481.0149,319.0711,0.01372,1.086063,1211.297,2260.636,Happy
197,230.5993,328.0375,281.0365,0.008905,1.065063,811.0344,2269.863,Happy
198,175.4945,313.2721,258.0547,0.027302,1.134813,1446.399,3933.999,Happy
199,170.4325,297.1022,227.7462,0.005949,1.108875,1394.924,3959.998,Happy
200,196.4894,347.7087,246.2489,0.014029,1.305625,1105.443,2265.572,Happy
201,195.5848,501.3721,392.0423,0.04289,1.909625,1201.289,2790.24,Happy
202,186.4201,550.5643,401.2092,0.08304,1.909688,1325.84,2541.425,Happy
203,233.1198,580.4567,382.3903,0.024074,1.756875,2182.308,3783.487,Happy
204,214.4895,543.3326,359.2216,0.109054,1.756875,1749.902,2645.225,Happy
205,262.6363,450.8652,341.0171,0.032769,1.83325,1663.218,3270.446,Happy
206,192.8414,465.0141,329.6084,0.015111,1.909625,1005.831,2963.826,Happy
207,214.003,599.1227,351.5496,0.02068,2.291563,736.2467,3040.804,Happy
208,222.1006,578.0543,329.6831,0.030925,1.52775,1049.654,2513.56,Happy
209,261.618,516.9416,365.1962,0.03772,2.215188,1798.378,3204.491,Happy
210,234.7443,513.1242,346.3852,0.00557,2.062438,1166.936,2556.21,Happy
211,101.3336,597.5908,372.3149,0.02892,1.909688,1942.733,4192.37,Happy
212,308.0342,543.5775,392.3509,0.063274,1.604063,2036.668,N/A,Happy
213,312.1682,593.2666,434.5373,0.056731,2.062438,2543.368,4157.338,Happy
214,249.6321,584.7916,398.3431,0.024409,1.6805,422.2543,2872.907,Happy
215,293.2064,582.9854,392.5763,0.055085,1.604125,2149.76,4325.565,Happy
216,364.7477,512.1981,426.1147,0.082065,1.83325,865.4777,3692.979,Happy
217,355.4662,531.8786,438.9957,0.10327,1.909625,520.0148,2798.653,Happy
218,370.5796,599.5412,454.2097,0.078413,1.604063,286.1288,2692.505,Happy
219,302.4949,592.3831,412.2697,0.018261,1.298563,968.2658,2506.763,Happy
220,305.0864,592.4381,411.6134,0.028196,1.77975,2492.375,4373.59,Happy
221,305.8308,596.1481,382.548,0.069295,1.756875,831.044,2585.814,Happy
222,357.6213,578.6166,464.479,0.076274,1.374938,1306.652,1708.979,Happy
223,311.7201,596.8956,406.7393,0.02792,1.604125,1774.288,3643.567,Happy
224,312.6026,593.0969,427.5407,0.045028,2.138813,806.1191,2199.788,Happy
225,332.3243,585.5992,415.4023,0.030494,1.451313,2460.595,4204.994,Happy
226,251.8027,594.4633,355.9268,0.052757,1.83325,1853.505,3544.741,Happy
